osm_id,highway,lanes,maxspeed,name,oneway,WKT
"5971","residential","nan","nan","Tupac Amaru","nan","LINESTRING (-77.051993 -11.964567, -77.0529764 -11.9647869)"
"5972","trunk","3","60","Avenida Túpac Amaru","yes","LINESTRING (-77.0566787 -11.9674555, -77.0559226 -11.966191)"
"5973","residential","nan","nan","13 de Diciembre","nan","LINESTRING (-77.0552018 -11.9663799, -77.0554259 -11.9670431)"
"5974","residential","nan","nan","Maestro Peruano","nan","LINESTRING (-77.0552018 -11.9663799, -77.054672 -11.9665458)"
"5975","residential","nan","nan","Progreso","nan","LINESTRING (-77.0524537 -11.9669208, -77.0533408 -11.9667689)"
"5976","residential","nan","nan","Jirón Carlos Mariategui","nan","LINESTRING (-77.0524537 -11.9669208, -77.0533408 -11.9667689)"
"5977","residential","nan","nan","nan","nan","LINESTRING (-77.0578715 -11.9740123, -77.0577793 -11.9740451)"
"5978","secondary","2","40","María Parado de Bellido","yes","LINESTRING (-77.0578715 -11.9740123, -77.0574108 -11.972551)"
"5979","residential","nan","nan","Progreso","nan","LINESTRING (-77.0547635 -11.9668026, -77.0554259 -11.9670431)"
"598","residential","nan","nan","Iglesias","nan","LINESTRING (-77.0409828 -11.9291895, -77.0419767 -11.9290804)"
"5980","residential","nan","nan","Jirón 1 de Mayo","nan","LINESTRING (-77.054011 -11.9644583, -77.054173 -11.9649698)"
"5981","residential","nan","nan","Tupac Amaru","nan","LINESTRING (-77.054011 -11.9644583, -77.0545231 -11.9642956)"
"5982","residential","nan","nan","Jose Olaya","nan","LINESTRING (-77.0516594 -11.9645357, -77.051993 -11.964567)"
"5983","residential","nan","nan","Pasaje Las Orquídeas","nan","LINESTRING (-77.0582694 -11.9753697, -77.0581138 -11.9754227)"
"5984","trunk","3","60","Avenida Túpac Amaru","yes","LINESTRING (-77.0574598 -11.9704174, -77.0566787 -11.9674555)"
"5985","trunk","3","60","Avenida Túpac Amaru","yes","LINESTRING (-77.0574309 -11.9709918, -77.0574598 -11.9704174)"
"5986","residential","nan","nan","San Martin de Porres","nan","LINESTRING (-77.0574309 -11.9709918, -77.0564311 -11.9711189)"
"5987","residential","nan","nan","Jirón 1 de Mayo","nan","LINESTRING (-77.054672 -11.9665458, -77.0547635 -11.9668026)"
"5988","residential","nan","nan","Calle Los Alhelíes","nan","LINESTRING (-77.0578866 -11.9755, -77.0579828 -11.9758117)"
"5989","residential","nan","nan","Tupac Amaru","nan","LINESTRING (-77.0529764 -11.9647869, -77.0534877 -11.9646245)"
"599","residential","nan","nan","Teniente Tomas Garrido","nan","LINESTRING (-77.0409828 -11.9291895, -77.0410401 -11.9296562)"
"5990","residential","nan","nan","nan","nan","LINESTRING (-77.058095 -11.9747352, -77.0577793 -11.9740451)"
"5991","residential","nan","nan","Progreso","nan","LINESTRING (-77.0516905 -11.96706, -77.0524537 -11.9669208)"
"5992","residential","nan","nan","Calle Los Alhelíes","nan","LINESTRING (-77.0577811 -11.9751885, -77.0578866 -11.9755)"
"5993","residential","nan","nan","Calle Los Claveles","nan","LINESTRING (-77.0577811 -11.9751885, -77.058243 -11.9750262)"
"5994","residential","nan","nan","Pasaje Atahualpa","nan","LINESTRING (-77.0541398 -11.966204, -77.0544715 -11.9659126)"
"5995","unclassified","nan","nan","nan","nan","LINESTRING (-77.054381 -11.9710607, -77.0568552 -11.9694679)"
"5996","unclassified","nan","nan","nan","nan","LINESTRING (-77.054381 -11.9710607, -77.0552851 -11.9702051)"
"5997","unclassified","nan","nan","nan","nan","LINESTRING (-77.054381 -11.9710607, -77.0540285 -11.9714209)"
"5998","residential","nan","nan","13 de Diciembre","nan","LINESTRING (-77.0550305 -11.9658539, -77.0552018 -11.9663799)"
"5999","residential","nan","nan","Alfonso Ugarte","nan","LINESTRING (-77.0550305 -11.9658539, -77.0555963 -11.9656783)"
"6","trunk","2","50","Avenida Naranjal","yes","LINESTRING (-77.0595696 -11.976523, -77.0596737 -11.9765376)"
"60","secondary","2","50","Avenida Mexico","yes","LINESTRING (-77.0577256 -11.9557959, -77.0588685 -11.9554198)"
"600","residential","nan","nan","Los Fundadores","nan","LINESTRING (-77.0479311 -11.9414836, -77.04737 -11.9415314)"
"6000","residential","nan","nan","Progreso","nan","LINESTRING (-77.0542543 -11.9666744, -77.0547635 -11.9668026)"
"6001","residential","nan","nan","Pasaje Atahualpa","nan","LINESTRING (-77.0542543 -11.9666744, -77.0541398 -11.966204)"
